trace,format,n,flip_rate,c,b,sigma,R2,med_flip_margin,below_p25,top2,demoted,dgap,mean_gap_q,neg_pct,fp_p25,rel_weight_err
s1,q4_0,32000,11.440625,0.9638909740002771,0.06482997742279391,1.0367389846429493,0.9070736264214392,0.26936912536621094,86.01475006828736,75.63507238459437,76.18137121005189,-0.13311195373535156,3.4942874908447266,9.68125,0.7554148435592651,0.0818
s2,q4_0,32000,11.609375,0.9601641067668079,0.06595422622640103,1.0268089618311615,0.9101515016969156,0.2840762138366699,84.46837146702558,75.1278600269179,75.37012113055181,-0.1301870346069336,3.429544448852539,9.834375,0.7644575834274292,0.0818
s3,q4_0,32000,11.31875,0.9640289180869756,0.0635704297445449,1.0527732140944646,0.9047177561074232,0.29694533348083496,84.06957482054113,75.26228602981779,76.25621203754832,-0.1252279281616211,3.4430902004241943,9.6125,0.8068027496337891,0.0818
s4,q4_0,32000,11.60625,0.9622874603710895,0.08965753096997198,1.061692114678912,0.900377784602361,0.288618803024292,83.79106085083467,74.1518578352181,75.47119009154551,-0.10291194915771484,3.4677999019622803,9.775,0.7695683240890503,0.0818
s0,q3_k,32000,18.081249999999997,0.9100894385522628,0.12701335533406047,1.6270349652881386,0.7825943531235782,0.4190967082977295,69.80642931213274,60.836501901140686,62.0463187003111,-0.3619852066040039,3.188126564025879,13.6875,0.7558162212371826,0.1416
s1,q3_k,32000,17.91875,0.9049213434561478,0.12061695448678741,1.609980880776869,0.7810629631792148,0.3936377763748169,71.20683641437043,61.40565050575515,62.2602023020579,-0.3856382369995117,3.2417612075805664,13.521875,0.7554148435592651,0.1416
s2,q3_k,32000,18.331249999999997,0.904795243529403,0.12060439179666718,1.6128422608405837,0.7847577393109222,0.4308180809020996,69.38288441868394,60.364814183429935,61.779747698602115,-0.37178778648376465,3.187943696975708,13.721875,0.7644575834274292,0.1416
s3,q3_k,32000,17.4875,0.8989594023865218,0.16526566409088184,1.6170559046994648,0.7777589577724455,0.4156179428100586,71.4796283059328,61.63330950679057,62.9735525375268,-0.3280606269836426,3.240257501602173,13.325000000000001,0.8068027496337891,0.1416
s4,q3_k,32000,17.953125,0.8994223069236171,0.11328305837508333,1.6338526988757338,0.7692630052776006,0.4368133544921875,69.01653611836379,61.096605744125334,62.47171453437772,-0.4519655704498291,3.118746280670166,13.496875,0.7695683240890503,0.1416
s0,q2_k,32000,41.40625,0.8122907230743533,-0.2362268759836782,3.0062595841939492,0.4565116026443695,1.0056798458099365,42.76981132075472,33.95471698113208,38.66415094339622,-1.290839672088623,2.2592720985412598,25.171875,0.7558162212371826,0.2514
s1,q2_k,32000,43.621874999999996,0.809671260473094,-0.2815755526673918,2.9709348018636694,0.4561438551131515,1.1176624298095703,40.776559925496095,32.910666953220144,37.40239272154165,-1.3961501121520996,2.2312493324279785,26.384375,0.7554148435592651,0.2514
s2,q2_k,32000,40.8375,0.8232869094778896,-0.23201115433162076,2.877171623707746,0.48679896202067363,0.9796210527420044,43.61034588307315,33.03489439853076,37.917049280685646,-1.3332767486572266,2.226454734802246,24.76875,0.7644575834274292,0.2514
s3,q2_k,32000,42.221875,0.8153786471468434,-0.257371043403572,3.0215756186725455,0.4519341403808469,1.0893573760986328,41.80297535341573,34.0685367478351,37.10310117681889,-1.3240084648132324,2.244309663772583,26.01875,0.8068027496337891,0.2514
s4,q2_k,32000,42.33125,0.8109196234470816,-0.3096716431890853,2.8959986048726636,0.463119266552528,1.0956144332885742,41.591613760519714,32.452384467739556,39.052118706629265,-1.4055054187774658,2.1652064323425293,25.143749999999997,0.7695683240890503,0.2514
